fixture_id,kickoff_lima,kickoff_utc,match,group,venue,venue_timezone,schedule_source
2026-06-27-pan-eng,2026-06-27T16:00:00-05:00,2026-06-27T21:00:00Z,Panama vs England,L,"New York New Jersey Stadium, East Rutherford, New Jersey, USA",America/New_York,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-27-cro-gha,2026-06-27T16:00:00-05:00,2026-06-27T21:00:00Z,Croatia vs Ghana,L,"Philadelphia Stadium, Philadelphia, Pennsylvania, USA",America/New_York,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-27-col-por,2026-06-27T18:30:00-05:00,2026-06-27T23:30:00Z,Colombia vs Portugal,K,"Miami Stadium, Miami, Florida, USA",America/New_York,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-27-con-uzb,2026-06-27T18:30:00-05:00,2026-06-27T23:30:00Z,Congo Democratic Republic vs Uzbekistan,K,"Atlanta Stadium, Atlanta, Georgia, USA",America/New_York,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-27-alg-aut,2026-06-27T21:00:00-05:00,2026-06-28T02:00:00Z,Algeria vs Austria,J,"Kansas City Stadium, Kansas City, Missouri, USA",America/Chicago,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-27-jor-arg,2026-06-27T21:00:00-05:00,2026-06-28T02:00:00Z,Jordan vs Argentina,J,"Dallas Stadium, Arlington, Texas, USA",America/Chicago,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina
2026-06-28-zaf-can,2026-06-28T14:00:00-05:00,2026-06-28T19:00:00Z,South Africa vs Canada,Round of 32,"Venue not verified in available source",unknown,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14
2026-06-29-bra-jpn,2026-06-29T12:00:00-05:00,2026-06-29T17:00:00Z,Brazil vs Japan,Round of 32,"Venue not verified in available source",unknown,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14
2026-06-29-deu-pry,2026-06-29T15:30:00-05:00,2026-06-29T20:30:00Z,Germany vs Paraguay,Round of 32,"Boston Stadium, Foxborough, Massachusetts, USA",America/New_York,https://www.bavarianfootballworks.com/germany-international-soccer/222053/official-germany-to-face-paraguay-in-world-cup-round-of-32
2026-06-29-nld-mar,2026-06-29T20:00:00-05:00,2026-06-30T01:00:00Z,Netherlands vs Morocco,Round of 32,"Venue not verified in available source",unknown,https://www.theguardian.com/football/live/2026/jun/27/world-cup-2026-news-live-england-panama-croatia-ghana-colombia-portugal-dr-congo-uzbekistan-live
