fixture_id,team_news_summary,injuries_suspensions,predicted_lineup_notes,motivation_group_state,weather_venue_notes,source_urls,accessed_at,confidence
2026-06-24-sui-can,"Switzerland followed a 1-1 draw with Qatar by beating Bosnia and Herzegovina 4-1. Canada followed a 1-1 draw with Bosnia and Herzegovina by beating nine-man Qatar 6-0; Jonathan David scored a hat-trick, but the win was overshadowed by Ismael Kone's severe injury.","Canada: Ismael Kone suffered fractures of the left tibia and fibula, underwent successful surgery and is out for the tournament. Alphonso Davies had not played in Canada's first two matches while returning to fitness; match-specific availability for Switzerland was unavailable. Confirmed suspensions: none found for either team.","Canada are likely to replace Kone in midfield with Nathan Saliba, who came on and scored against Qatar. Davies' starting status remained unconfirmed by the cutoff. No confirmed XI or reliable Switzerland change report was available; Switzerland could retain the core that beat Bosnia 4-1.","Group B: Canada 4 pts, GD +6; Switzerland 4 pts, GD +3. A draw sends both through and leaves Canada first. The loser could be caught on four points by the Bosnia-Qatar winner, so neither side is mathematically secure before kickoff.","BC Place is an enclosed/retractable-roof venue, limiting direct weather exposure if the roof is closed. A reliable roof decision and match-time forecast for June 24 were unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/18/ismael-kone-injury-reaction-canada | https://as.com/futbol/mundial/millonada-en-italia-tras-la-gravisima-lesion-de-kone-f202606-n/ | https://www.welt.de/newsticker/dpa_nt/infoline_nt/sport_nt/article6a3481beaf14c0b52895f024/schockszene-bei-kanada-spiel-kone-mit-trage-vom-platz.html | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",high
2026-06-24-bih-qat,"Bosnia and Herzegovina drew 1-1 with Canada before losing 4-1 to Switzerland. Qatar drew 1-1 with Switzerland, then lost 6-0 to Canada in a match in which they finished with nine players.","Qatar: Homam Ahmed and Assim Madibo are suspended after red cards against Canada; Madibo was sent off for the challenge that broke Ismael Kone's leg. Bosnia and Herzegovina: match-specific confirmed injuries or suspensions were unavailable.","Qatar must make at least two changes because Ahmed and Madibo are suspended. Bosnia's confirmed XI was unavailable; an attacking approach is expected because a draw is insufficient for a realistic qualification route, but personnel and formation are unconfirmed.","Group B: Bosnia and Herzegovina 1 pt, GD -3; Qatar 1 pt, GD -6. Both need a win. The winner reaches four points and could take second if Switzerland or Canada loses by enough, or otherwise contend for a best-third-place berth; a draw almost certainly eliminates both.","Seattle Stadium is the open-air Lumen Field. A reliable match-time forecast for the 12:00 local kickoff on June 24 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/18/ismael-kone-injury-reaction-canada | https://nypost.com/2026/06/18/sports/ismael-kone-leaves-world-cup-game-early-with-serious-leg-injury/ | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",medium-high
2026-06-24-sco-bra,"Scotland beat Haiti 1-0 and then lost 1-0 to Morocco. Brazil drew 1-1 with Morocco and beat Haiti 3-0. Scotland reporting emphasized that their qualification fate remained in their own hands despite limited attacking output.","Brazil: Raphinha has a right-hamstring muscle injury and is ruled out of this match. Neymar was expected to be available after his calf rehabilitation, but his exact role was unconfirmed. Scotland: Aaron Hickey was not expected back unless Scotland advanced; Scott McKenna and Lewis Ferguson were being monitored. Confirmed suspensions were unavailable.","Brazil must replace Raphinha; Neymar could enter the XI or receive managed minutes, but no confirmed lineup was available. Scotland indicated a balanced rather than purely defensive plan. McKenna/Ferguson fitness could affect selection; otherwise a major reshuffle was not confirmed.","Group C: Brazil 4 pts, GD +3; Morocco 4 pts, GD +1; Scotland 3 pts, GD 0; Haiti 0 pts, GD -4. Brazil guarantee advancement with a draw and can win the group. Scotland qualify with a win; a draw gives four points and a strong best-third-place chance but may not secure the top two.","Miami Stadium is the open-air Hard Rock Stadium in Miami Gardens, where heat, humidity and storms can matter. A reliable match-time forecast for June 24 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.barcablaugranes.com/world-cup-2026/124120/brazil-confirm-raphinha-injury-in-fresh-update-on-barcelona-star | https://www.thetimes.com/sport/scottish/article/scotland-brazil-world-cup-neymar-jack-hendry-scott-mctominay-spjzh7gfl | https://www.theguardian.com/football/2026/jun/20/scotland-2026-world-cup-destiny-morocco-brazil-steve-clarke | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",high
2026-06-24-mar-hai,"Morocco drew 1-1 with Brazil and beat Scotland 1-0. Haiti lost 1-0 to Scotland and 3-0 to Brazil. Haiti's pre-tournament identity was a disciplined, transition-focused 4-4-2/4-2-3-1 built around Johny Placide, Jean-Ricner Bellegarde and Duckens Nazon.","Morocco: Abde Ezzalzouli suffered a medial-knee-ligament sprain before the tournament and was expected to miss three to four weeks; Noussair Mazraoui had a shoulder issue but was expected to be fit. Haiti: match-specific confirmed injuries and suspensions were unavailable. Confirmed suspensions for Morocco were unavailable.","Morocco are expected to continue without Ezzalzouli, with Achraf Hakimi and Brahim Diaz central to progression and chance creation; rotation is possible but unconfirmed. Haiti's likely structure remains compact and counterattacking, with Placide in goal and Nazon/Pierrot as attacking references; no confirmed XI was available.","Group C: Morocco 4 pts, GD +1; Haiti 0 pts, GD -4. Morocco guarantee advancement with a draw and can win the group. Haiti must win to reach three points and then need Scotland to lose plus favorable goal-difference and best-third-place results; elimination remains the overwhelmingly likely outcome.","Atlanta Stadium is Mercedes-Benz Stadium, a retractable-roof, climate-controlled venue. Roof status and a reliable match-time forecast were unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.fourfourtwo.com/person/player/scotland-world-cup-opponents-suffer-huge-blow-as-28-goal-star-man-injured-on-eve-of-tournament | https://www.theguardian.com/football/2026/may/30/haiti-world-cup-2026-team-guide | https://www.starsandstripesfc.com/fifa-world-cup/43930/2026-world-cup-group-c-preview | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",medium
2026-06-24-rsa-kor,"South Africa lost 2-0 to Mexico and drew 1-1 with Czechia. South Korea beat Czechia 2-1 and lost 1-0 to Mexico. No reliable match-specific team-news report was found by the cutoff.","Match-specific confirmed injuries and suspensions for South Africa and South Korea were unavailable.","Confirmed XIs and reliable predicted changes were unavailable. South Korea's established attacking reference is captain Son Heung-min, while South Africa need a more aggressive approach than in the opening loss; specific personnel or shape changes are unconfirmed.","Group A: South Korea 3 pts, GD 0; South Africa 1 pt, GD -2. South Korea guarantee at least second with a win; a draw may be enough depending on Czechia-Mexico. South Africa must win and then compare points, goal difference and the parallel result for second or third.","Monterrey Stadium is the open-air Estadio BBVA in Guadalupe. Heat can be significant at an 19:00 local kickoff, but a reliable match-time forecast for June 24 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.starsandstripesfc.com/copa-america/43910/2026-world-cup-group-a-preview | https://www.fourfourtwo.com/team/czech-republic-world-cup-2026-squad | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",low
2026-06-24-cze-mex,"Czechia lost 2-1 to South Korea and drew 1-1 with South Africa. Host Mexico beat South Africa 2-0 and South Korea 1-0, taking maximum points without conceding. Current match-specific reporting was limited by the cutoff.","Match-specific confirmed injuries and suspensions for Czechia and Mexico were unavailable. Czechia's final squad omitted goalkeepers Vitezslav Jaros and Antonin Kinsky, but those were roster decisions/availability before the tournament rather than new match injuries.","No confirmed XI was available. Czechia's attacking plan is expected to continue through Patrik Schick, supported by players such as Adam Hlozek, Pavel Sulc and Lukas Provod. Mexico may rotate after securing advancement, but any changes around Raul Jimenez or the defensive unit are unconfirmed.","Group A: Mexico 6 pts, GD +3 and are guaranteed a top-two place; a draw secures first. Czechia have 1 pt, GD -1 and must win to reach four points, then need the South Korea-South Africa result and tiebreakers to determine second or a best-third-place route.","Mexico City Stadium is the open-air Estadio Azteca at roughly 2,200 metres elevation, making altitude a material factor. A reliable match-time forecast for June 24 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.fourfourtwo.com/team/czech-republic-world-cup-2026-squad | https://www.starsandstripesfc.com/copa-america/43910/2026-world-cup-group-a-preview | https://www.theguardian.com/football/2026/jun/11/mexico-hoping-football-emerges-from-the-chaos-surrounding-world-cup | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",medium-low
2026-06-25-ecu-ger,"Ecuador lost 1-0 to Ivory Coast and drew 0-0 with Curacao despite generating heavy pressure. Germany beat Curacao 7-1 and came from behind to beat Ivory Coast 2-1; substitute Deniz Undav scored twice and Germany clinched advancement.","No match-specific confirmed Ecuador injuries or suspensions were found. Germany: no confirmed new absence was reported after the Ivory Coast match; confirmed suspensions were unavailable.","Germany may start Undav after his two-goal substitute appearance and could change midfield after Aleksandar Pavlovic's subdued display; rotation is plausible because qualification is secured, but no XI was confirmed. Ecuador need more finishing threat after failing to score in two matches; specific changes were unavailable.","Group E: Germany 6 pts, GD +7 and are qualified; a draw wins the group. Ecuador 1 pt, GD -1 and must beat Germany to reach four points, then need the Curacao-Ivory Coast result and tiebreakers for second or third.","New York New Jersey Stadium is the open-air MetLife Stadium in East Rutherford. A reliable match-time forecast for the 16:00 local kickoff on June 25 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.bavarianfootballworks.com/fifa-world-cup/219089/match-analysis-observations-world-cup-germany-ivory-coast | https://www.thesun.ie/sport/17153642/man-uttd-antonio-valencia-ecuador-world-cup/ | https://nypost.com/2026/06/10/sports/world-cup-2026-group-e-preview-prediction-odds-full-team-overviews/ | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",medium-high
2026-06-25-cur-civ,"Curacao rebounded from a 7-1 loss to Germany by drawing 0-0 with Ecuador, with goalkeeper Eloy Room making a reported 15 saves. Ivory Coast beat Ecuador 1-0 and then lost 2-1 to Germany after leading through Franck Kessie.","Ivory Coast: Wilfried Singo suffered a left-hamstring injury against Germany and was considered highly unlikely to play again in the tournament, although the exact grade was unavailable. Curacao: no match-specific confirmed injuries or suspensions were found. Confirmed suspensions for either team were unavailable.","Curacao are expected to retain Eloy Room after his exceptional display and again use a compact, reactive setup. Ivory Coast must replace Singo at right-back; Franck Kessie and Yan Diomande remain key based on the Germany match. No confirmed XI was available.","Group E: Ivory Coast 3 pts, GD 0; Curacao 1 pt, GD -6. Ivory Coast guarantee advancement with a win and may advance with a draw depending on Ecuador-Germany. Curacao must win to reach four points and then rely on the parallel result and substantial tiebreaker help.","Philadelphia Stadium is the open-air Lincoln Financial Field. A reliable match-time forecast for the 16:00 local kickoff on June 25 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.thesun.co.uk/sport/39486180/ivory-coast-wilfried-singo-world-cup-injury/ | https://www.the-sun.com/sport/16551183/world-cup-curacao-ecuador-eloy-room-tribute-former-teammate/ | https://www.bavarianfootballworks.com/fifa-world-cup/219089/match-analysis-observations-world-cup-germany-ivory-coast | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",high
2026-06-25-tun-ned,"Tunisia lost 5-1 to Sweden, dismissed coach Sabri Lamouchi, appointed Herve Renard, and then lost 4-0 to Japan. The Netherlands drew 2-2 with Japan and beat Sweden 5-1.","Netherlands: Frenkie de Jong played about an hour against Sweden despite a minor issue and said he still felt manageable pain; his availability/workload for this match was uncertain. Tunisia: no match-specific confirmed player injuries or suspensions were found. Managerial change is confirmed.","The Netherlands may manage or rest De Jong and could rotate, but still need a result to secure their exact finishing position. Tunisia changed goalkeeper and shape/personnel under Renard against Japan, using a back three and moving Hannibal Mejbri into a midfield two; further changes are unconfirmed.","Group F: Netherlands 4 pts, GD +4; Japan 4 pts, GD +4; Sweden 3 pts, GD 0; Tunisia 0 pts, GD -8. Tunisia are eliminated. The Netherlands guarantee advancement with a win and should advance with a draw; first place depends on Japan-Sweden and tiebreakers.","Kansas City Stadium is the open-air Arrowhead Stadium. A reliable match-time forecast for the 18:00 local kickoff on June 25 was unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/21/fifa-world-cup-2026-live-tunisia-v-japan-updates-tun-vs-jpn-group-f-match-score-latest | https://www.barcablaugranes.com/world-cup-2026/124115/im-feeling-a-bit-of-pain-frenkie-de-jong-shares-injury-update-after-netherlands-win | https://people.com/tunisia-soccer-team-fires-head-coach-one-game-into-painful-2026-world-cup-12000166 | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",high
2026-06-25-jpn-swe,"Japan drew 2-2 with the Netherlands and beat Tunisia 4-0, with Ayase Ueda scoring twice in a 3-4-3. Sweden beat Tunisia 5-1 but then lost 5-1 to the Netherlands.","Japan: Takefusa Kubo missed the Tunisia match with a knee injury; Kaoru Mitoma and Takumi Minamino were absent from the tournament, and Wataru Endo was also unavailable for the Tunisia match. Match-specific Sweden injuries or suspensions were unavailable.","Japan are likely to retain the 3-4-3 and Ueda as the central forward; Kubo's return was unconfirmed, while Tomiyasu and Itakura strengthened the back three against Tunisia. Sweden are expected to continue building around Viktor Gyokeres and Alexander Isak, but no confirmed XI or reliable change report was available.","Group F: Japan 4 pts, GD +4; Sweden 3 pts, GD 0. Japan guarantee advancement with a draw and can win the group. Sweden qualify with a win; a draw gives four points and may be enough as a best third-placed team depending on other groups.","Dallas Stadium is AT&T Stadium, a retractable-roof, climate-controlled venue. Roof status and a reliable match-time external forecast were unavailable by the cutoff.","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/21/fifa-world-cup-2026-live-tunisia-v-japan-updates-tun-vs-jpn-group-f-match-score-latest | https://omni.se/ny-skada-for-sveriges-kommande-motstandare/a/k0QjEk | https://www.starsandstripesfc.com/fifa-world-cup/44036/2026-world-cup-group-f-preview | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide","2026-06-21T23:53:08-05:00",high
