fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-25-ecu-ger,Ecuador vs Germany,2026-06-25 15:00,Betano,Resultado del partido,match_result,Ecuador,home,,3.60,false,IMG_7574.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-ecu-ger,Ecuador vs Germany,2026-06-25 15:00,Betano,Resultado del partido,match_result,Empate,draw,,3.85,false,IMG_7574.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-ecu-ger,Ecuador vs Germany,2026-06-25 15:00,Betano,Resultado del partido,match_result,Alemania,away,,1.95,false,IMG_7574.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-cur-civ,Curacao vs Ivory Coast,2026-06-25 15:00,Betano,Resultado del partido,match_result,Curazao,home,,20.00,false,IMG_7578.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-cur-civ,Curacao vs Ivory Coast,2026-06-25 15:00,Betano,Resultado del partido,match_result,Empate,draw,,7.20,false,IMG_7578.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-cur-civ,Curacao vs Ivory Coast,2026-06-25 15:00,Betano,Resultado del partido,match_result,Costa de Marfil,away,,1.16,false,IMG_7578.PNG,2026-06-21 22:26 -05:00,Independent visual fallback; standard market
2026-06-25-tun-ned,Tunisia vs Netherlands,2026-06-25 18:00,Betano,Resultado del partido,match_result,Túnez,home,,22.00,false,IMG_7582.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-tun-ned,Tunisia vs Netherlands,2026-06-25 18:00,Betano,Resultado del partido,match_result,Empate,draw,,7.50,false,IMG_7582.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-tun-ned,Tunisia vs Netherlands,2026-06-25 18:00,Betano,Resultado del partido,match_result,Países Bajos,away,,1.15,false,IMG_7582.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-jpn-swe,Japan vs Sweden,2026-06-25 18:00,Betano,Resultado del partido,match_result,Japón,home,,1.93,false,IMG_7586.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-jpn-swe,Japan vs Sweden,2026-06-25 18:00,Betano,Resultado del partido,match_result,Empate,draw,,3.35,false,IMG_7586.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-jpn-swe,Japan vs Sweden,2026-06-25 18:00,Betano,Resultado del partido,match_result,Suecia,away,,4.30,false,IMG_7586.PNG,2026-06-21 22:27 -05:00,Independent visual fallback; standard market
2026-06-25-par-aus,Paraguay vs Australia,2026-06-25 21:00,Betano,Resultado del partido,match_result,Paraguay,home,,2.82,false,IMG_7589.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-25-par-aus,Paraguay vs Australia,2026-06-25 21:00,Betano,Resultado del partido,match_result,Empate,draw,,2.35,false,IMG_7589.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-25-par-aus,Paraguay vs Australia,2026-06-25 21:00,Betano,Resultado del partido,match_result,Australia,away,,3.75,false,IMG_7589.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-25-tur-usa,Turkiye vs USA,2026-06-25 21:00,Betano,Resultado del partido,match_result,Turquía,home,,3.50,false,IMG_7592.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-25-tur-usa,Turkiye vs USA,2026-06-25 21:00,Betano,Resultado del partido,match_result,Empate,draw,,3.90,false,IMG_7592.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-25-tur-usa,Turkiye vs USA,2026-06-25 21:00,Betano,Resultado del partido,match_result,EE. UU.,away,,1.98,false,IMG_7592.PNG,2026-06-21 22:28 -05:00,Independent visual fallback; standard market
2026-06-26-nor-fra,Norway vs France,2026-06-26 14:00,Betano,Resultado del partido,match_result,Noruega,home,,4.15,false,IMG_7595.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-nor-fra,Norway vs France,2026-06-26 14:00,Betano,Resultado del partido,match_result,Empate,draw,,3.90,false,IMG_7595.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-nor-fra,Norway vs France,2026-06-26 14:00,Betano,Resultado del partido,match_result,Francia,away,,1.82,false,IMG_7595.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-sen-irq,Senegal vs Iraq,2026-06-26 14:00,Betano,Resultado del partido,match_result,Senegal,home,,1.31,false,IMG_7598.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-sen-irq,Senegal vs Iraq,2026-06-26 14:00,Betano,Resultado del partido,match_result,Empate,draw,,5.10,false,IMG_7598.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-sen-irq,Senegal vs Iraq,2026-06-26 14:00,Betano,Resultado del partido,match_result,Irak,away,,11.00,false,IMG_7598.PNG,2026-06-21 22:29 -05:00,Independent visual fallback; standard market
2026-06-26-cpv-ksa,Cape Verde vs Saudi Arabia,2026-06-26 19:00,Betano,Resultado del partido,match_result,Cabo Verde,home,,2.30,false,IMG_7601.PNG,2026-06-21 22:30 -05:00,Independent visual fallback; standard market
2026-06-26-cpv-ksa,Cape Verde vs Saudi Arabia,2026-06-26 19:00,Betano,Resultado del partido,match_result,Empate,draw,,3.45,false,IMG_7601.PNG,2026-06-21 22:30 -05:00,Independent visual fallback; standard market
2026-06-26-cpv-ksa,Cape Verde vs Saudi Arabia,2026-06-26 19:00,Betano,Resultado del partido,match_result,Arabia Saudita,away,,3.10,false,IMG_7601.PNG,2026-06-21 22:30 -05:00,Independent visual fallback; standard market
